"Market","Model","Drivetrain","OrganicAvailable","PaidAvailable","HVNWRAvailable","CostPerNVWRAvailable","CostKeyMatched"
"BELUX","F70","NON-BEV","False","False","True","True","BELU_1_NON-BEV"
"BELUX","G26","BEV","False","False","True","True","BELU_I4_BEV"
"BELUX","NA5","BEV","False","False","False","True","BELU_IX3_BEV"
"BELUX","U10","BEV","False","False","True","True","BELU_IX2_BEV"
"BELUX","U11","BEV","False","False","True","True","BELU_IX1_BEV"
"BELUX","U11","NON-BEV","False","False","True","True","BELU_X1_NON-BEV"
"CS","F70","NON-BEV","True","False","True","True","CZ_1_NON-BEV"
"CS","G05","NON-BEV","True","True","True","True","CZ_X5_NON-BEV"
"CS","G07","NON-BEV","True","True","True","True","CZ_X7_NON-BEV"
"CS","G20","NON-BEV","True","False","True","True","CZ_3_NON-BEV"
"CS","G45","NON-BEV","True","False","True","True","CZ_X3_NON-BEV"
"CS","G60","NON-BEV","True","True","True","True","CZ_5_NON-BEV"
"CS","G61","NON-BEV","True","True","True","True","CZ_5_NON-BEV"
"CS","NA5","BEV","True","True","False","True","CZ_IX3_BEV"
"CS","U10","NON-BEV","True","True","True","True","CZ_X2_NON-BEV"
"CS","U11","BEV","True","True","True","True","CZ_IX1_BEV"
"CS","U11","NON-BEV","True","True","True","True","CZ_X1_NON-BEV"
"DE","F70","NON-BEV","False","False","True","True","DE_1_NON-BEV"
"DE","G05","NON-BEV","False","False","True","True","DE_X5_NON-BEV"
"DE","G21","NON-BEV","False","False","True","True","DE_3_NON-BEV"
"DE","G26","BEV","False","False","True","True","DE_I4_BEV"
"DE","G45","NON-BEV","False","False","True","True","DE_X3_NON-BEV"
"DE","G60","NON-BEV","False","False","True","True","DE_5_NON-BEV"
"DE","G61","NON-BEV","False","False","True","True","DE_5_NON-BEV"
"DE","NA5","BEV","False","False","False","True","DE_IX3_BEV"
"DE","U11","BEV","False","False","True","True","DE_IX1_BEV"
"DE","U11","NON-BEV","False","False","True","True","DE_X1_NON-BEV"
"ES","F70","NON-BEV","False","False","True","True","ES_1_NON-BEV"
"ES","G45","NON-BEV","False","False","True","True","ES_X3_NON-BEV"
"ES","NA5","BEV","False","False","False","True","ES_IX3_BEV"
"ES","U10","NON-BEV","False","False","True","True","ES_X2_NON-BEV"
"ES","U11","NON-BEV","False","False","True","True","ES_X1_NON-BEV"
"FR","F70","NON-BEV","False","False","True","True","FR_1_NON-BEV"
"FR","NA5","BEV","False","False","False","True","FR_IX3_BEV"
"FR","U10","NON-BEV","False","False","True","True","FR_X2_NON-BEV"
"FR","U11","BEV","False","False","True","True","FR_IX1_BEV"
"FR","U11","NON-BEV","False","False","True","True","FR_X1_NON-BEV"
"GB","F70","NON-BEV","False","False","True","True","GB_1_NON-BEV"
"GB","F74","NON-BEV","False","False","True","True","GB_2_NON-BEV"
"GB","G05","NON-BEV","False","False","True","True","GB_X5_NON-BEV"
"GB","G20","NON-BEV","False","False","True","True","GB_3_NON-BEV"
"GB","G45","NON-BEV","False","False","True","True","GB_X3_NON-BEV"
"GB","NA5","BEV","False","False","False","True","GB_IX3_BEV"
"GB","U10","BEV","False","False","True","True","GB_IX2_BEV"
"GB","U10","NON-BEV","False","False","True","True","GB_X2_NON-BEV"
"GB","U11","BEV","False","False","True","True","GB_IX1_BEV"
"GB","U11","NON-BEV","False","False","True","True","GB_X1_NON-BEV"
"IT","F70","NON-BEV","False","False","True","True","IT_1_NON-BEV"
"IT","G21","NON-BEV","False","False","True","True","IT_3_NON-BEV"
"IT","G45","NON-BEV","False","False","True","True","IT_X3_NON-BEV"
"IT","U10","NON-BEV","False","False","True","True","IT_X2_NON-BEV"
"IT","U11","NON-BEV","False","False","True","True","IT_X1_NON-BEV"
"JP","F70","NON-BEV","False","False","True","False",""
"JP","F74","NON-BEV","False","False","True","False",""
"JP","G07","NON-BEV","False","False","True","False",""
"JP","G20","NON-BEV","False","False","True","False",""
"JP","G26","NON-BEV","False","False","True","False",""
"JP","G45","NON-BEV","False","False","True","False",""
"JP","U10","NON-BEV","False","False","True","False",""
"JP","U11","NON-BEV","False","False","True","False",""
"KR","G05","NON-BEV","False","False","True","False",""
"KR","G07","NON-BEV","False","False","True","False",""
"KR","G20","NON-BEV","False","False","True","False",""
"KR","G45","NON-BEV","False","False","True","False",""
"KR","G60","BEV","False","False","True","False",""
"KR","G60","NON-BEV","False","False","True","False",""
"KR","G70","NON-BEV","False","False","True","False",""
"NL","F70","NON-BEV","False","False","True","True","NL_1_NON-BEV"
"NL","G21","NON-BEV","False","False","True","True","NL_3_NON-BEV"
"NL","G26","BEV","False","False","True","True","NL_I4_BEV"
"NL","G45","NON-BEV","False","False","True","True","NL_X3_NON-BEV"
"NL","G61","NON-BEV","False","False","True","True","NL_5_NON-BEV"
"NL","NA5","BEV","False","False","False","True","NL_IX3_BEV"
"NL","U11","BEV","False","False","True","True","NL_IX1_BEV"
"NL","U11","NON-BEV","False","False","True","True","NL_X1_NON-BEV"
"US","G05","NON-BEV","False","False","True","True","DE_X5_NON-BEV"
"US","G07","NON-BEV","False","False","True","True","DE_X7_NON-BEV"
"US","G20","NON-BEV","False","False","True","True","DE_3_NON-BEV"
"US","G26","BEV","False","False","True","True","DE_I4_BEV"
"US","G45","NON-BEV","False","False","True","True","DE_X3_NON-BEV"
"US","G60","NON-BEV","False","False","True","True","DE_5_NON-BEV"
"US","U11","NON-BEV","False","False","True","True","DE_X1_NON-BEV"
