"Model Range","Drivetrain Category","country_code","WEB","CRM","SALES","PRED"
"F70","NON-BEV","DE","NVWR","'-3",-3,"C"
"F70","NON-BEV","GB","0","0",0," "
"F70","NON-BEV","IT","NVWR","0",1," "
"F70","NON-BEV","FR","0","0",0," "
"F70","NON-BEV","BELUX","0","0",0,"C"
"F70","NON-BEV","ES","0","0",1," "
"F70","NON-BEV","NL","'-3","'-1",-1,"R"
"F70","NON-BEV","CS","0","'-2",1,"C"
"F70","NON-BEV","KR","1","0",0," "
"F70","NON-BEV","JP","'-1","'-1",-2,"R"
"F74","NON-BEV","DE","0","'-1",0," "
"F74","NON-BEV","GB","'-3","'-1",0," "
"F74","NON-BEV","IT","0","'-2",1," "
"F74","NON-BEV","FR","  NVWR  ","0",0," "
"F74","NON-BEV","BELUX"," NVWR ","'-3",-1," "
"F74","NON-BEV","ES","0","'-3",0,"C"
"F74","NON-BEV","NL","NVWR","0",1," "
"F74","NON-BEV","CS","0","'-3",0," "
"F74","NON-BEV","KR","1","1",1," "
"F74","NON-BEV","JP","'-2","'-1",-3," "
"F74","NON-BEV","US","NVWR","'-3",-3," "
"U10","BEV","DE","0","0",0,"C"
"U10","BEV","GB","'-2","'-3",1,"C"
"U10","BEV","IT","0","0",0," "
"U10","BEV","FR","0","0",0,"C"
"U10","BEV","BELUX","0","0",0,"C"
"U10","BEV","ES","0","'-1",0," "
"U10","BEV","NL","0","0",0,"C"
"U10","BEV","CS","0","0",0,"C"
"U10","BEV","KR","0","0",0," "
"U10","BEV","JP","0","1",-3," "
"U10","NON-BEV","DE","0","0",0,"C"
"U10","NON-BEV","GB","1","0",-3,"R"
"U10","NON-BEV","IT"," NVWR ","0",-2," "
"U10","NON-BEV","FR","  NVWR  ","'-1",-1," "
"U10","NON-BEV","BELUX","0","0",0," "
"U10","NON-BEV","ES","NVWR","'-3",0,"C"
"U10","NON-BEV","NL","'-3","'-3",-2," "
"U10","NON-BEV","CS","'-3","'-3",-3,"R"
"U10","NON-BEV","KR","NVWR","'-3",-2,"R"
"U10","NON-BEV","JP","0","0",-3,"R"
"U10","NON-BEV","US","'-3","'-3",0," "
"U11","BEV","DE","0","0",0,"C"
"U11","BEV","GB","0","0",0,"C"
"U11","BEV","IT","'-1","'-1",0,"C"
"U11","BEV","FR","0","0",0,"C"
"U11","BEV","BELUX","0","0",0,"C"
"U11","BEV","ES","NVWR","'-3",0," "
"U11","BEV","NL","0","0",0,"C"
"U11","BEV","CS","0","0",0,"C"
"U11","BEV","KR","0","'-3",0,"R"
"U11","BEV","JP","0","'-3",0," "
"U11","BEV","US","0","0",0," "
"U11","NON-BEV","DE","NVWR","'-1",-2,"C"
"U11","NON-BEV","GB","0","0",0," "
"U11","NON-BEV","IT","  NVWR  ","0",0," "
"U11","NON-BEV","FR","  NVWR  ","'-1",-2,"C"
"U11","NON-BEV","BELUX","0","0",0," "
"U11","NON-BEV","ES","NVWR","0",-3," "
"U11","NON-BEV","NL","  NVWR  ","0",0," "
"U11","NON-BEV","CS","NVWR","0",1,"R"
"U11","NON-BEV","KR","1","1",0," "
"U11","NON-BEV","JP","0","0",-2,"R"
"U11","NON-BEV","US"," NVWR ","'-3",0," "
"G20","NON-BEV","DE","0","0",0,"C"
"G20","NON-BEV","GB","1","0",1,"R"
"G20","NON-BEV","IT","'-3","'-3",0," "
"G20","NON-BEV","FR","0","0",0," "
"G20","NON-BEV","BELUX","0","0",0," "
"G20","NON-BEV","ES","0","0",0,"C"
"G20","NON-BEV","NL","'-3","'-3",1," "
"G20","NON-BEV","CS","  NVWR  ","1",1,"C"
"G20","NON-BEV","KR"," NVWR ","'-2",0," "
"G20","NON-BEV","JP","0","0",0," "
"G20","NON-BEV","US","1","1",0," "
"G21","NON-BEV","DE","'-2","'-1",-2,"C"
"G21","NON-BEV","GB","NVWR","0",1," "
"G21","NON-BEV","IT","0","0",0,"C"
"G21","NON-BEV","FR","0","0",0," "
"G21","NON-BEV","BELUX","0","0",0," "
"G21","NON-BEV","ES","0","0",-1," "
"G21","NON-BEV","NL","0","0",0,"C"
"G21","NON-BEV","CS"," NVWR ","0",0," "
"G21","NON-BEV","KR","NVWR","'-3",0," "
"G21","NON-BEV","JP","0","0",0," "
"NA5","BEV","DE","IWVV","0",1,"C"
"NA5","BEV","GB","0","0",0,"R"
"NA5","BEV","IT","0","0",0," "
"NA5","BEV","FR","0","0",0," "
"NA5","BEV","BELUX","'-3","'-3",-1," "
"NA5","BEV","ES","IWVV","0",-3," "
"NA5","BEV","NL","IWVV","0",0," "
"NA5","BEV","CS","0","0",0," "
"NA5","BEV","KR","0","0",0," "
"NA5","BEV","JP","0","0",0," "
"NA5","BEV","US","0","0",0," "
"G45","NON-BEV","DE","0","1",0,"C"
"G45","NON-BEV","GB","0","1",0," "
"G45","NON-BEV","IT","1","0",0,"C"
"G45","NON-BEV","FR","'-1","'-1",0,"C"
"G45","NON-BEV","BELUX","  NVWR  ","'-1",1," "
"G45","NON-BEV","ES","'-2","0",0,"C"
"G45","NON-BEV","NL","NVWR","1",0,"C"
"G45","NON-BEV","CS","  NVWR  ","'-3",0,"C"
"G45","NON-BEV","KR","1","'-3",0," "
"G45","NON-BEV","JP","0","0",1," "
"G45","NON-BEV","US","1","'-3",0," "
"G26","BEV","DE","0","'-1",0,"C"
"G26","BEV","GB","0","0",0,"R"
"G26","BEV","IT","0","0",0," "
"G26","BEV","FR","0","0",0,"C"
"G26","BEV","BELUX","0","0",0,"C"
"G26","BEV","ES","0","'-3",0," "
"G26","BEV","NL","0","0",0," "
"G26","BEV","CS","0","0",0,"C"
"G26","BEV","KR","0","'-3",-2," "
"G26","BEV","JP","0","1",0," "
"G26","BEV","US","0","'-3",-1," "
"G26","NON-BEV","DE","'-3","'-1",-3," "
"G26","NON-BEV","GB","NVWR","0",1,"R"
"G26","NON-BEV","IT","0","0",0," "
"G26","NON-BEV","FR","'-2","'-1",0," "
"G26","NON-BEV","BELUX","'-3","'-3",-3," "
"G26","NON-BEV","ES","0","0",0," "
"G26","NON-BEV","NL","'-3","'-3",1," "
"G26","NON-BEV","CS","'-3","'-3",-3," "
"G26","NON-BEV","KR","1","'-3",-3,"R"
"G26","NON-BEV","JP","  IWVV  ","0",-2," "
"G26","NON-BEV","US","0","0",0,"C"
"G60","BEV","DE","0","'-3",0,"C"
"G60","BEV","GB","0","'-1",0,"C"
"G60","BEV","IT","'-1","'-1",0," "
"G60","BEV","FR","0","'-1",-2," "
"G60","BEV","BELUX","0","0",0," "
"G60","BEV","ES","'-3","'-3",0," "
"G60","BEV","NL","0","0",0," "
"G60","BEV","CS","0","0",0," "
"G60","BEV","KR","0","'-3",0," "
"G60","BEV","JP","0","'-1",0," "
"G60","BEV","US","0","0",0," "
"G60","NON-BEV","DE","NVWR","'-3",1,"R"
"G60","NON-BEV","GB","0","0",1," "
"G60","NON-BEV","IT","0","1",0," "
"G60","NON-BEV","FR","0","0",0," "
"G60","NON-BEV","BELUX","NVWR","'-2",-3," "
"G60","NON-BEV","ES"," NVWR ","'-3",0," "
"G60","NON-BEV","NL","'-2","'-2",1," "
"G60","NON-BEV","CS","1","0",1," "
"G60","NON-BEV","KR","1","'-3",0," "
"G60","NON-BEV","JP","0","0",-2," "
"G60","NON-BEV","US","'-3","'-3",0," "
"G61","BEV","DE","0","0",0,"C"
"G61","BEV","GB","0","0",0,"C"
"G61","BEV","IT","IWVV","'-3",1," "
"G61","BEV","FR","0","0",-3," "
"G61","BEV","BELUX","0","0",0," "
"G61","BEV","ES","'-3","'-3",-2," "
"G61","BEV","NL","0","0",0," "
"G61","BEV","CS","0","0",0,"C"
