"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",3,
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",,1
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",,
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",,
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",3,2
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",,1
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",,
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","2 Series","F44","NON-BEV","11AK",,
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","F44","NON-BEV","11AL",,1
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","F44","NON-BEV","11AL",,1
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","F44","NON-BEV","11AL",,1
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","4 Series","G22","NON-BEV","11AP",,1
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","KKL+","4 Series","G22","NON-BEV","11AR",,
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","4 Series","G23","NON-BEV","11AT",,
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G26","NON-BEV","11AV",,1
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","4 Series","G26","NON-BEV","11AV",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","4 Series","G26","NON-BEV","11AV",,2
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G26","NON-BEV","11AV",,1
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","4 Series","G26","NON-BEV","11AV",,
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","KKL+","4 Series","G26","NON-BEV","11AW",,
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","4 Series","G26","NON-BEV","11AW",1,
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,2
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,5
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",25,24
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,5
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,1
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,4
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,20
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",34,36
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,6
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,
"Retail - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","2 Series","U06","NON-BEV","11BX",,2
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","MKL+","iX","I20","BEV","11CF",,3
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","iX","I20","BEV","11CF",,
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","iX","I20","BEV","11CF",,1
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","MKL+","iX","I20","BEV","11CF",,
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","MKL+","iX","I20","BEV","11CF",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","MKL+","iX","I20","BEV","11CF",,7
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","iX","I20","BEV","11CF",,1
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","MKL+","iX","I20","BEV","11CF",,1
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","iX","I20","BEV","11CF",,1
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","MKL+","iX","I20","BEV","11CF",,
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,1
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,2
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",11,6
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,6
