,New Vehicle Web Requests | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,DE,GB,IT,FR,BELU,ES,NL,AT,PL,RO,CZ,HU,GR,SK,BG,SI,KR,JP
F70,4684,0.5962852263023057,0.5659203980099502,0.16006600660066006,0.6566901408450704,0.8015075376884422,0.6544117647058824,0.8817204301075269,0.5,0.344,0.7490636704119851,0.16129032258064516,0.875,0.7777777777777778,0.8,0,0.7352941176470589,0.625,0,0.2361111111111111
F74,1111,0.44734473447344736,0.4879032258064516,0.0945945945945946,0.4117647058823529,0.6166666666666667,0.65,0.5833333333333334,0.36363636363636365,0.6451612903225806,0.6985294117647058,0,0.6666666666666666,1,0.8461538461538461,1,1,1,0,0.34615384615384615
G05,3496,0.5337528604118993,0.5451092117758785,0.15632754342431762,0.7958477508650519,0.6347305389221557,0.5280898876404494,0.8015873015873016,0.371900826446281,0.5666666666666667,0.7087912087912088,0.25675675675675674,0.6911764705882353,0.8333333333333334,0.5384615384615384,0.5384615384615384,0.9814814814814815,0.17543859649122806,0.2066115702479339,0.20512820512820512
G07,1749,0.6832475700400229,0.5205882352941177,0.12582781456953643,0.8842105263157894,1,0.5,0.6923076923076923,0,0.36363636363636365,0.8974358974358975,0.25,0.7931034482758621,0.6875,1,0.7647058823529411,1,0,0.908883826879271,0
G08,5,0.4,,,,1,1,,,,,,0,,,,,,,0
G09,1143,0.38495188101487315,0.4453125,0.11475409836065574,0.9035087719298246,0.6311475409836066,0.02,0.8125,0.15384615384615385,0.2777777777777778,0.6470588235294118,0.42857142857142855,0.75,0.3333333333333333,1,0.75,1,,0.19811320754716982,0.14814814814814814
G20,3001,0.43285571476174606,0.47095761381475665,0.224,0.2611111111111111,0.44502617801047123,0.4098360655737705,0.7235772357723578,0.5526315789473685,0.42,0.5772495755517827,0.35,0.7272727272727273,0.75,0.2857142857142857,,0.9166666666666666,1,0.014492753623188406,0.1827956989247312
G21,3750,0.5024,0.5363128491620112,0.14049586776859505,0.6015037593984962,0.3115942028985507,0.46808510638297873,0.7401574803149606,0.2755102040816326,0.25961538461538464,0.5666666666666667,0.3333333333333333,0.8378378378378378,0.75,,0.8571428571428571,1,0,0,0.1320754716981132
G26,1713,0.47810858143607704,0.4662668665667166,0.085,0.6303030303030303,0.5119047619047619,0.5740740740740741,0.7368421052631579,0.4166666666666667,0.45098039215686275,0.5426829268292683,0.17391304347826086,0.6111111111111112,0.6415094339622641,1,1,1,0.6,0,0.09090909090909091
G45,10442,0.6945987358743536,0.5559906029757243,0.100418410041841,0.8976465364120781,0.6741214057507987,0.5267857142857143,0.8065326633165829,0.34265734265734266,0.4015151515151515,0.684085510688836,0.34782608695652173,0.7571428571428571,0.5714285714285714,0.64,0.775,0.8775510204081632,0.8085106382978723,0.007142857142857143,0.13829787234042554
G60,2307,0.5197225834416992,0.48947368421052634,0.22794117647058823,0.4230769230769231,0.3508771929824561,0.5151515151515151,0.44,0.16666666666666666,0.42857142857142855,0.8087431693989071,0.24528301886792453,0.6176470588235294,0.6216216216216216,,0.8636363636363636,0.8095238095238095,0.5,0,0.3
G61,2851,0.49421255699754474,0.5153186274509803,0.07317073170731707,0.6527196652719666,0.41818181818181815,0.547945205479452,0.8,0.30851063829787234,0.43636363636363634,0.3993993993993994,0.07692307692307693,0.5862068965517241,0.4782608695652174,,0.8421052631578947,1,0.7142857142857143,,0.02702702702702703
G70,1760,0.35852272727272727,0.4847250509164969,0,0.37209302325581395,0.023255813953488372,0.5681818181818182,0.08333333333333333,0.6666666666666666,0.3888888888888889,0.6063829787234043,0.15517241379310345,0.7272727272727273,0.8181818181818182,0.7142857142857143,0.5454545454545454,0.9122807017543859,0.375,0,0
G90,675,0.4059259259259259,0.520618556701031,0.15447154471544716,0.2894736842105263,0.4375,0.6086956521739131,0.6923076923076923,0.5,0.35294117647058826,0.8095238095238095,0.2222222222222222,0.4444444444444444,0.4,0.5,0,1,0.6666666666666666,0,0.08333333333333333
I20,2203,0.44212437585111214,0.5790322580645161,0.11203319502074689,0.3055555555555556,0.5915492957746479,0.44642857142857145,1,0.15476190476190477,0.7415730337078652,0.5925925925925926,0.07692307692307693,0.5,0.5294117647058824,0.5,0.42857142857142855,0.7619047619047619,,0,0.10256410256410256
U10,1799,0.5808782657031685,0.5502645502645502,0.10204081632653061,0.6236933797909407,0.69375,0.5961538461538461,0.7171052631578947,0.46153846153846156,0.42857142857142855,0.6598639455782312,0,0.68,0.6153846153846154,0.768595041322314,1,0.5,0.75,0,0.22857142857142856
U11,6839,0.5341424184822342,0.533787323205867,0.06756756756756757,0.5173383317713215,0.7194994786235662,0.5526315789473685,0.8469656992084432,0.5208333333333334,0.4796747967479675,0.5238095238095238,0.29850746268656714,0.7045454545454546,0.7666666666666667,0.6850393700787402,0.6428571428571429,1,0.7333333333333333,0.02857142857142857,0.1937984496124031
