,New Vehicle Web Requests | H | GROUP | ALL,NVWR / IV Conversion MoM (%) | H | GROUP | ALL,DE,GB,IT,FR,BELU,ES,NL,AT,PL,RO,CZ,HU,GR,SK,BG,SI,KR,JP
F70,2337,0.023606987914665867,0.012855115612565736,0.010125178722535088,0.01567873171300344,0.014918190567853706,0.005828559943724249,0.005221615057680632,0.006537473733364464,0.023443223443223443,0.008781558726673985,0.011568123393316195,0.012832263978001834,0.004062976130015236,0.009707574304889742,0.002607561929595828,0.025954198473282442,0.005369127516778523,0.018703399469227854,0.002653748946925021
F74,696,0.3903418959348983,0.010713061364415495,0.007744433688286544,0.020007550018875046,0.0095654550423613,0.004060089321965083,0.006643806258036862,0.008412197686645636,0.03201970443349754,0.00935064935064935,0.003236245954692557,0.007079646017699115,0.001639344262295082,0.006211180124223602,0.020527859237536656,0.011363636363636364,0,0.01660546064186492,0.0015777018143570865
G05,2186,-0.06910148262874727,0.01136917025660236,0.005323928475155001,0.01670908487329866,0.007960904863245842,0.005346713827424529,0.006303072747964633,0.009066911511534489,0.010316875460574797,0.010410192666252331,0.010635726371766982,0.014112404060410992,0.00451773209848656,0.015113350125944584,0.010208610741233911,0.01564537157757497,0.05561735261401557,0.003537494518345271,0.0010470160043874956
G07,1133,0.0364788672275167,0.012334954829742877,0.009131181629147455,0.03201146679407549,0.0036900369003690036,0.0037262872628726286,0.006254114549045424,0.003668378576669112,0.0074142724745134385,0.00836305497478785,0.007554296506137866,0.014031300593631947,0.01043338683788122,0.0022271714922048997,0.015454545454545455,0.010889292196007259,0.0037174721189591076,0.021149203283437952,0.002173069460613116
G08,3,-0.3691922465091616,0,0,0,0,0,0,0,0,0,0,0.003076923076923077,0,0,0,0,0,0,0.0009380863039399625
G09,808,0.2114228691608253,0.011117974058060531,0.006364359586316627,0.023051330798479087,0.008076358296622614,0.07760768956924172,0.0042039846463169436,0.0035623409669211198,0.006056527590847914,0.012195121951219513,0.007431874483897605,0.009478672985781991,0.002717391304347826,0.002702702702702703,0.002053388090349076,0.01020408163265306,0,0.009843068065744266,0.0020306154326772885
G20,1627,0.020197531712012218,0.009163904891123023,0.003030101961825139,0.010174835196331326,0.008121665737717972,0.004346746150024838,0.0043486363918742625,0.005199667221297837,0.012589928057553957,0.012320697873105805,0.01037567084078712,0.011009174311926606,0.0011325028312570782,0.012759170653907496,0,0.007337526205450734,0.0023894862604540022,0.001955172706922445,0.002066343398721622
G21,2430,-0.011561044001022869,0.016501321102746897,0.005841293166789126,0.020597701149425288,0.008550407635712865,0.005963699222126188,0.006283280085197018,0.00870494807574832,0.011873350923482849,0.012572968118545127,0.0011730205278592375,0.017318159327065808,0.004792332268370607,0,0.0009871668311944718,0.013806706114398421,0.0016155088852988692,0.0017250842938916332,0.0020079169296081693
G26,1041,0.06560071509151388,0.012463743143505356,0.0032215602050713592,0.01672755239377043,0.006712228459848669,0.006305832895428271,0.004893804443574435,0.0023405500292568754,0.009456264775413711,0.012647898816809465,0.008122312470138558,0.008632138114209827,0.014105201292976785,0.001430615164520744,0.002105263157894737,0.006765899864682003,0.007317073170731708,0.0008287946957139474,0.0010410160316468874
G45,6628,0.6165153532181951,0.027443370142025452,0.010683149921394883,0.09610854612267973,0.01183325324363287,0.008637008991954567,0.008858925785602852,0.009925281588045055,0.021894336030461686,0.021000362075208192,0.015145917990395271,0.022998296422487224,0.009433962264150943,0.007501875468867217,0.00864397622906537,0.011516314779270634,0.010721944245889922,0.005459366713461238,0.0018520450751252087
G60,1306,0.01631150598955844,0.012981335126954768,0.0038768400943926286,0.0113555713271824,0.005141877737573796,0.004932735426008968,0.006220839813374806,0.005468215994531784,0.012981199641897942,0.013870541611624834,0.012534818941504178,0.016493585827733658,0.00889218228973694,0,0.014629948364888123,0.010671688637790333,0.023032629558541268,0.003353751489786302,0.002226241825518297
G61,1915,0.017930448095685225,0.02795397551261248,0.005651397977394408,0.02576355703303553,0.009953343701399688,0.013695503309746632,0.011241007194244604,0.017798466593647318,0.01166489925768823,0.02539599424008378,0.029411764705882353,0.012154696132596685,0.011088011088011088,0,0.017639077340569877,0.006711409395973154,0.008426966292134831,,0.003804147748189962
