,New Vehicle Web Requests | H | GROUP | ALL,NVWR / IV Conversion MoM (%) | H | GROUP | ALL,DE,GB,IT,FR,BELU,ES,NL,AT,PL,RO,CZ,HU,GR,SK,BG,SI,KR,JP
F70,2339,0.02762688590538742,0.008604855956724116,0.012426830438537569,0.01033821230638056,0.01697072549851506,0.012093023255813953,0.007850315232865569,0.007022471910112359,0.005317198386505317,0.004824239688540315,0.015063731170336037,0.004545454545454545,0.0008291873963515755,0.005638134290107637,0.002512562814070352,0.004527296937416778,0.005979073243647235,0,0.0013087101933982842
F74,415,0.22500450457261367,0.006930358350236646,0.009564801530368245,0.016426416359369762,0.014029180695847363,0.005007511266900351,0.004557640750670241,0.004694835680751174,0.010395010395010396,0.007429026266914301,0,0.007272727272727273,0.0017251293847038527,0.0005356186395286556,0,0,0.00851063829787234,0,0.0033126293995859213
G05,1301,-0.08000115655408913,0.008520393542840768,0.015638247762600095,0.01725752508361204,0.010200927357032458,0.004817342432757929,0.011635423400129283,0.016548463356973995,0.011363636363636364,0.013586730015837293,0.012264922322158627,0.0136986301369863,0.009930486593843098,0.004975124378109453,0.004524886877828055,0.0111731843575419,0.03664921465968586,0,0.0030165912518853697
G07,610,-0.37350705334294243,0.0059135779474762526,0.014792899408284023,0.017067494181536073,0,0.0035561877667140826,0.0010260920551158018,0.009584664536741214,0.006944444444444444,0.003630951038542207,0,0.006012024048096192,0.0003288391976323578,0.0056179775280898875,0,0.009216589861751152,0,0.008547008547008548,0.004807692307692308
G08,2,Infinity,0,0,0,0.0011682242990654205,0.0008928571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0
G09,328,0.00023728142874990255,0.004551920341394026,0.007209062821833162,0.0035323207347227126,0.015059563946954372,0.019150209455415918,0.001601993592025632,0.004207573632538569,0.015025041736227046,0.004692632566870014,0.00496031746031746,0,0.012012012012012012,0.006493506493506494,0.008310249307479225,0.002008032128514056,0,0,0.009402283411685695
G20,1374,0.35422415035142185,0.006348937611106408,0.008327806028447196,0.015555872698729841,0.01212368887072606,0.006496751624187906,0.00556781174493119,0.008365508365508366,0.011746280344557557,0.015136226034308779,0.0016943930991990142,0.009584664536741214,0.0016483516483516484,0.011077542799597181,0,0.01694915254237288,0.0034602076124567475,0,0.001946787800129786
G21,1311,0.029778590660633153,0.011866651948338669,0.010231755424063117,0.01252263126131563,0.008271035470017497,0.004049894702737729,0.011659807956104253,0.014492753623188406,0.031113876789047916,0.012533792086507742,0.0017793594306049821,0.0029806259314456036,0.0012422360248447205,0,0.01488833746898263,0.006060606060606061,0,0,0.004163775156141568
G26,669,0.11319623513145682,0.01138863092037734,0.015305392647689887,0.008850601840925183,0.00950508030154048,0.010011123470522803,0.009831767533318768,0.0076045627376425855,0.0380818053596615,0.01619156214367161,0.009787928221859706,0.01141552511415525,0.006666666666666667,0,0,0.0050335570469798654,0.02,0,0.0024238227146814403
G45,3516,0.1402101095491255,0.016186928547240093,0.018931782125859335,0.017881104696520517,0.012532411408815903,0.006726457399103139,0.014535944532295342,0.0028764715282586692,0.017520805957074025,0.004827708388696962,0.010894941634241245,0.01616161616161616,0.0017906171660498984,0.0027839643652561247,0.002365464222353637,0.0036637099884303894,0.007476635514018692,0,0.001789326279757274
G60,1001,-0.05711095029605706,0.01158909113812433,0.014135021097046414,0.005988023952095809,0.010351966873706004,0.005235602094240838,0.004101963082332259,0.006220839813374806,0.012115563839701771,0.00689000742635531,0.008607594936708861,0.009943181818181818,0.01264591439688716,0,0.01050420168067227,0.010126582278481013,0,0.0031746031746031746,0.002982848620432513
G61,929,-0.04355992387840957,0.02210117426441041,0.007060152499293985,0.015439599714081487,0.00992234685073339,0.0055178268251273345,0.006476683937823834,0.018979057591623036,0.018534119629317607,0.01570266606416629,0,0.012522361359570662,0.014957264957264958,0,0.018633540372670808,0.011235955056179775,0.02702702702702703,,0.0026041666666666665
G70,842,-0.29826296230303984,0.003763340198464707,0.006932409012131715,0.008562918838421444,0.01197373503283121,0.009137635636778984,0.004107424960505529,0.0006195786864931846,0.0025901942645698427,0.002788542371491255,0.004606273305549463,0.005813953488372093,0.009513742071881607,0.0024937655860349127,0.00354924578527063,0.00430416068866571,0,0,0.008086253369272238
G90,237,0.15051126553559446,0.005811250581125058,0.01008012406306539,0.007637752318603383,0.014006514657980456,0.004042037186742118,0.001584786053882726,0.006362672322375398,0.0070052539404553416,0.005385252692626346,0.009138381201044387,0.012903225806451613,0.006791171477079796,0,0,0,0,0,0.000999000999000999
I20,875,0.18297024282610708,0.00671019223793979,0.015180830480726298,0.0055438225976768745,0.0044229440221147205,0.010218140068886338,0.003966155473294554,0.007661558960692871,0.0056925996204933585,0.001869158878504673,0.002352941176470588,0.001392757660167131,0.009109311740890687,0.004285714285714286,0.0029282576866764276,0.01217391304347826,0,0.0015174506828528073,0.0038419319429198683
U10,805,-0.22611423141813303,0.009147430858286286,0.006211922112053518,0.013510747185261003,0.009161663331109628,0.0060078723845038325,0.007077072224915172,0.009142857142857144,0.00522875816993464,0.010344827586206896,0,0.0041753653444676405,0.01702127659574468,0.0029567294023994995,0.0034602076124567475,0,0.014925373134328358,0,0.0014170996693434106
U11,3031,-0.24404823569026313,0.013228921158671025,0.02107037505267594,0.019793699470309453,0.010154642596402735,0.0055248618784530384,0.008708684381075827,0.004440729324486704,0.012222222222222223,0.021653543307086614,0.006580714477571851,0.0008553654743390358,0.012033694344163659,0.010738549200087662,0.0011913271384322134,0.013050570962479609,0.0054005400540054005,0,0.009947499309201437
