#=================================================================
# BMW: RFP NVWR Monitoring by Model Range and Market
# Report suite: BMW-Global-All
"# Date: Jun 1, 2026 - Jun 30, 2026"
#=================================================================


##############################################
# Share of High Value New Vehicle Web Requests Last Month (%)
##############################################
,New Vehicle Web Requests | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL
,New Vehicle Web Requests | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,DE,GB,IT,FR,BELU,ES,NL,AT,PL,RO,CZ,HU,GR,SK,BG,SI,KR,JP
Vehicle Marketing Model Range | H | v10 | datalayer,,0.4826572323285445,0.5186235881271343,0.1277432549358924,0.7111365588319496,0.5618641604495689,0.4448511857392965,0.7289223897264099,0.3566166439290587,0.4411034482758621,0.640601727733095,0.2123974475843209,0.6309297912713473,0.5743099787685775,0.6995305164319249,0.6112469437652812,0.8411949685534591,0.5082417582417582,0.3425767918088737,0.1312545322697607
F70,4684,0.5962852263023057,0.5659203980099502,0.16006600660066006,0.6566901408450704,0.8015075376884422,0.6544117647058824,0.8817204301075269,0.5,0.344,0.7490636704119851,0.16129032258064516,0.875,0.7777777777777778,0.8,0,0.7352941176470589,0.625,0,0.2361111111111111
F74,1111,0.44734473447344736,0.4879032258064516,0.0945945945945946,0.4117647058823529,0.6166666666666667,0.65,0.5833333333333334,0.36363636363636365,0.6451612903225806,0.6985294117647058,0,0.6666666666666666,1,0.8461538461538461,1,1,1,0,0.34615384615384615
G05,3496,0.5337528604118993,0.5451092117758785,0.15632754342431762,0.7958477508650519,0.6347305389221557,0.5280898876404494,0.8015873015873016,0.371900826446281,0.5666666666666667,0.7087912087912088,0.25675675675675674,0.6911764705882353,0.8333333333333334,0.5384615384615384,0.5384615384615384,0.9814814814814815,0.17543859649122806,0.2066115702479339,0.20512820512820512
G07,1749,0.6832475700400229,0.5205882352941177,0.12582781456953643,0.8842105263157894,1,0.5,0.6923076923076923,0,0.36363636363636365,0.8974358974358975,0.25,0.7931034482758621,0.6875,1,0.7647058823529411,1,0,0.908883826879271,0
G08,5,0.4,,,,1,1,,,,,,0,,,,,,,0
G09,1143,0.38495188101487315,0.4453125,0.11475409836065574,0.9035087719298246,0.6311475409836066,0.02,0.8125,0.15384615384615385,0.2777777777777778,0.6470588235294118,0.42857142857142855,0.75,0.3333333333333333,1,0.75,1,,0.19811320754716982,0.14814814814814814
G20,3001,0.43285571476174606,0.47095761381475665,0.224,0.2611111111111111,0.44502617801047123,0.4098360655737705,0.7235772357723578,0.5526315789473685,0.42,0.5772495755517827,0.35,0.7272727272727273,0.75,0.2857142857142857,,0.9166666666666666,1,0.014492753623188406,0.1827956989247312
G21,3750,0.5024,0.5363128491620112,0.14049586776859505,0.6015037593984962,0.3115942028985507,0.46808510638297873,0.7401574803149606,0.2755102040816326,0.25961538461538464,0.5666666666666667,0.3333333333333333,0.8378378378378378,0.75,,0.8571428571428571,1,0,0,0.1320754716981132
G26,1713,0.47810858143607704,0.4662668665667166,0.085,0.6303030303030303,0.5119047619047619,0.5740740740740741,0.7368421052631579,0.4166666666666667,0.45098039215686275,0.5426829268292683,0.17391304347826086,0.6111111111111112,0.6415094339622641,1,1,1,0.6,0,0.09090909090909091
G26E,4283,0.5309362596310997,0.5180722891566265,0.11224489795918367,0.6,0.601965601965602,0.5015290519877675,0.8205128205128205,0.3333333333333333,0.39800995024875624,0.6666666666666666,0.28,0.5909090909090909,0.6818181818181818,0.7368421052631579,1,1,0.46153846153846156,0.8355263157894737,0
G45,10442,0.6945987358743536,0.5559906029757243,0.100418410041841,0.8976465364120781,0.6741214057507987,0.5267857142857143,0.8065326633165829,0.34265734265734266,0.4015151515151515,0.684085510688836,0.34782608695652173,0.7571428571428571,0.5714285714285714,0.64,0.775,0.8775510204081632,0.8085106382978723,0.007142857142857143,0.13829787234042554
G60,2307,0.5197225834416992,0.48947368421052634,0.22794117647058823,0.4230769230769231,0.3508771929824561,0.5151515151515151,0.44,0.16666666666666666,0.42857142857142855,0.8087431693989071,0.24528301886792453,0.6176470588235294,0.6216216216216216,,0.8636363636363636,0.8095238095238095,0.5,0,0.3
G60E,2845,0.33251318101933214,0.5520833333333334,0.12376237623762376,0.6,0.5,0.6794871794871795,0.6666666666666666,0.23214285714285715,0.6986301369863014,0.8918918918918919,0,1,0.6666666666666666,0.3333333333333333,0.75,0.8571428571428571,1,0.22400475341651813,0
G61,2851,0.49421255699754474,0.5153186274509803,0.07317073170731707,0.6527196652719666,0.41818181818181815,0.547945205479452,0.8,0.30851063829787234,0.43636363636363634,0.3993993993993994,0.07692307692307693,0.5862068965517241,0.4782608695652174,,0.8421052631578947,1,0.7142857142857143,,0.02702702702702703
